sellerServiceStatus,logNo,title,categoryNo,parentCategoryNo,sourceCode,commentCount,readCount,addDate,openType,searchYn,greenReviewBannerYn,memologMovingYn,isPostSelectable,isPostNotOpen,isPostBlocked,isBlockTmpForced,postProductStatus
,223253517958,%5B%EC%9D%BC%EB%B3%B8+%EC%A4%91%EB%B6%80%EC%A7%80%EB%B0%A9+2%5D+%EB%82%98%EA%B3%A0%EC%95%BC+%EC%8B%9C%EC%A6%88%EC%98%A4%EC%B9%B4+%EB%8F%84%EC%95%BC%EB%A7%88+%EC%9E%90%EC%9C%A0%EC%97%AC%ED%96%89+%EA%B4%80%EA%B4%91%EC%A7%80+%EC%B6%94%EC%B2%9C,8,7,0,15.0,,2023. 11. 2.,2,True,False,0,0,0,0,0,
,223252659652,%5B%EC%9D%BC%EB%B3%B8+%EC%A4%91%EB%B6%80%EC%A7%80%EB%B0%A9+1%5D+%EB%82%98%EA%B3%A0%EC%95%BC+%EC%97%AC%ED%96%89+%EB%96%A0%EB%82%98%EC%9E%90%21+%EC%97%AC%ED%96%89+%EC%A7%80%EC%9B%90+%EB%AA%A8%EC%9D%8C,8,7,0,28.0,,2023. 11. 1.,2,True,False,0,0,0,0,0,
,223252181808,%EC%84%AC%EC%84%B8%ED%95%9C+%ED%8B%B0%EC%B9%AD%EA%B3%BC+%ED%95%B8%EC%A6%88%EC%98%A8+%3A+%EC%95%95%EA%B5%AC%EC%A0%95%EC%9A%94%EA%B0%80+%EC%B0%A8%EC%9A%94%EA%B0%80+%EB%B9%88%EC%95%BC%EC%82%AC+%EA%B0%95%EB%82%A8+%EC%8B%A0%EC%82%AC%EB%8F%99,23,23,0,24.0,,2023. 11. 1.,2,True,False,0,0,0,0,0,
,223251106758,%EB%8B%B9%EC%82%B0%EC%97%AD+%EA%B7%BC%EC%B2%98%EC%97%90+%EC%83%88%EB%A1%9C%EC%83%9D%EA%B8%B4+%EC%A0%90%EC%8B%AC+%EB%A7%9B%EC%A7%91+%7C+%EB%A7%88%EB%9D%BC%EC%B2%9C%ED%95%98+%EB%A7%88%EB%9D%BC%ED%83%95,23,23,0,32.0,,2023. 10. 31.,2,True,False,0,0,0,0,0,
,223251065520,%5B20.Blog%5D+10%EC%9B%94+30%EC%9D%BC+%EA%B3%B0%EC%9D%B4%EC%9D%98+%EB%B8%94%EB%A1%9C%EA%B9%85,18,15,0,4.0,,2023. 10. 30.,2,True,False,0,0,0,0,0,
,223250463176,i+am+%ED%96%89%EB%B3%B5%EC%97%90%EC%9A%94%7E+2023+%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD+%EC%88%99%EB%B0%95%EC%84%B8%EC%9D%BC+%ED%8E%98%EC%8A%A4%ED%83%80+%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0+%EC%82%AC%EC%9A%A9%EB%B2%95+%EB%B0%8F+%EC%B6%94%EC%B2%9C,22,7,0,24.0,,2023. 10. 30.,2,True,False,0,0,0,0,0,
,223249968566,%EC%95%84%EB%A1%AC%EC%9A%94%EA%B0%80+%ED%95%98%ED%83%80%2C+%EB%B9%88%EC%95%BC%EC%82%AC+%EC%88%98%EB%A0%A8+%ED%9B%84%EA%B8%B0%21+%EB%82%A8%EC%9C%84%EB%A1%80%EC%97%AD+%EC%9C%84%EB%A1%80%EC%9A%94%EA%B0%80%EC%9B%90,23,23,0,15.0,,2023. 10. 29.,2,True,False,0,0,0,0,0,
,223248936184,%ED%96%84%EB%A8%B9%EB%8A%94+%EC%A0%A4%EB%A6%AC%EA%B3%B0+%EC%9D%B8%EC%8A%A4%ED%83%80+%EA%B3%84%EC%A0%95+%EB%A7%8C%EB%93%A4%EC%97%88%EC%96%B4%EC%9A%94%7E%21,18,15,0,24.0,,2023. 10. 28.,2,True,False,0,0,0,0,0,
,223247732240,%EB%B0%95%EC%A4%80+%EB%B7%B0%ED%8B%B0%EB%9E%A9+%EC%A2%85%EA%B0%81%EC%97%AD%EC%A0%90+%EC%A2%85%EB%A1%9C%EB%AF%B8%EC%9A%A9%EC%8B%A4+%EB%8F%84%ED%98%84+%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88+%EB%82%A8%EC%84%B1+%EC%9D%BC%EB%B0%98%ED%8E%8C+%ED%9B%84%EA%B8%B0,23,23,0,17.0,,2023. 10. 27.,2,True,False,0,0,0,0,0,
,223247727569,%EC%98%A4%ED%86%A0%EA%B9%80%EB%B0%A5+%EB%B3%B8%EC%A0%90+%EC%9D%B4%ED%83%9C%EC%9B%90+OTTO+%7C+%EA%B3%A0%EC%B6%94%EB%83%89%EC%9D%B4%EC%BD%A4%EB%B9%84%2C+%EB%B9%84%EA%B1%B4%EC%B0%B8%EC%B9%98%EA%B9%80%EB%B0%A5,6,7,0,13.0,,2023. 10. 27.,2,True,False,0,0,0,0,0,
